wordAmount,threadAmount,microSeconds
1000,1,928
1000,1,609
1000,1,627
1000,1,724
1000,1,649
1000,1,2701
1000,1,578
1000,1,625
1000,1,709
1000,1,647
1000,1,683
1000,1,664
1000,1,686
1000,1,685
1000,1,634
1000,1,936
1000,1,606
1000,1,655
1000,1,677
1000,1,625
1000,2,843
1000,2,1079
1000,2,788
1000,2,855
1000,2,770
1000,2,729
1000,2,826
1000,2,734
1000,2,698
1000,2,757
1000,2,713
1000,2,805
1000,2,690
1000,2,706
1000,2,739
1000,2,719
1000,2,728
1000,2,740
1000,2,721
1000,2,1035
1000,3,1143
1000,3,948
1000,3,947
1000,3,1049
1000,3,1044
1000,3,1089
1000,3,965
1000,3,976
1000,3,754
1000,3,1030
1000,3,974
1000,3,1253
1000,3,1178
1000,3,1130
1000,3,980
1000,3,1097
1000,3,1112
1000,3,933
1000,3,985
1000,3,1058
1000,4,1147
1000,4,1361
1000,4,1504
1000,4,1044
1000,4,1192
1000,4,881
1000,4,955
1000,4,1045
1000,4,1263
1000,4,1163
1000,4,1227
1000,4,1095
1000,4,1302
1000,4,1128
1000,4,1270
1000,4,1129
1000,4,1072
1000,4,1117
1000,4,1309
1000,4,1249
1000,5,1291
1000,5,1108
1000,5,1224
1000,5,1390
1000,5,1053
1000,5,933
1000,5,1468
1000,5,1326
1000,5,1101
1000,5,1034
1000,5,1050
1000,5,1406
1000,5,1121
1000,5,1418
1000,5,1441
1000,5,1744
1000,5,1011
1000,5,1119
1000,5,1068
1000,5,1102
1000,6,1110
1000,6,1227
1000,6,1029
1000,6,1363
1000,6,1692
1000,6,1144
1000,6,1199
1000,6,1095
1000,6,1289
1000,6,1175
1000,6,1162
1000,6,1220
1000,6,1141
1000,6,1679
1000,6,1574
1000,6,1231
1000,6,1604
1000,6,1015
1000,6,1375
1000,6,1370
1000,7,1285
1000,7,1494
1000,7,1494
1000,7,1581
1000,7,1304
1000,7,5893
1000,7,1515
1000,7,1700
1000,7,2234
1000,7,1993
1000,7,1562
1000,7,1311
1000,7,1573
1000,7,1703
1000,7,1315
1000,7,1875
1000,7,1706
1000,7,1513
1000,7,1472
1000,7,1650
1000,8,1507
1000,8,1676
1000,8,1463
1000,8,1723
1000,8,2009
1000,8,1848
1000,8,1314
1000,8,1513
1000,8,1442
1000,8,1348
1000,8,1419
1000,8,1351
1000,8,1485
1000,8,1226
1000,8,1943
1000,8,1538
1000,8,1248
1000,8,1542
1000,8,1470
1000,8,1056
1000,9,1493
1000,9,1506
1000,9,1660
1000,9,1522
1000,9,1336
1000,9,1348
1000,9,1377
1000,9,1412
1000,9,2947
1000,9,1485
1000,9,2615
1000,9,2092
1000,9,1758
1000,9,1755
1000,9,1839
1000,9,1848
1000,9,1548
1000,9,1878
1000,9,1697
1000,9,2056
1000,10,1887
1000,10,1183
1000,10,1545
1000,10,1989
1000,10,2217
1000,10,2340
1000,10,8097
1000,10,1372
1000,10,1363
1000,10,1448
1000,10,1488
1000,10,1349
1000,10,1634
1000,10,1429
1000,10,1438
1000,10,1781
1000,10,1836
1000,10,1256
1000,10,1149
1000,10,1570
1000,11,1612
1000,11,1343
1000,11,1680
1000,11,1459
1000,11,1487
1000,11,1942
1000,11,1445
1000,11,1758
1000,11,2079
1000,11,2542
1000,11,1795
1000,11,1375
1000,11,2529
1000,11,2229
1000,11,2122
1000,11,3118
1000,11,4162
1000,11,2344
1000,11,2545
1000,11,2243
1000,12,4938
1000,12,1669
1000,12,2664
1000,12,2302
1000,12,2084
1000,12,1526
1000,12,1778
1000,12,2077
1000,12,2095
1000,12,2427
1000,12,2332
1000,12,2075
1000,12,1771
1000,12,1558
1000,12,1440
1000,12,2197
1000,12,1888
1000,12,1724
1000,12,1645
1000,12,1731
1000,13,2782
1000,13,1989
1000,13,1900
1000,13,1821
1000,13,2060
1000,13,1773
1000,13,2161
1000,13,1985
1000,13,1830
1000,13,1918
1000,13,2016
1000,13,1848
1000,13,2481
1000,13,1902
1000,13,1896
1000,13,1922
1000,13,2108
