wordAmount,threadAmount,microSeconds
1000,1,519
1000,1,575
1000,1,696
1000,1,607
1000,1,563
1000,1,603
1000,1,474
1000,1,481
1000,1,483
1000,1,458
1000,1,564
1000,1,553
1000,1,518
1000,1,472
1000,1,550
1000,1,470
1000,1,455
1000,1,471
1000,1,468
1000,1,471
1000,2,618
1000,2,573
1000,2,642
1000,2,716
1000,2,701
1000,2,629
1000,2,902
1000,2,415
1000,2,540
1000,2,701
1000,2,724
1000,2,624
1000,2,579
1000,2,614
1000,2,672
1000,2,600
1000,2,511
1000,2,797
1000,2,792
1000,2,601
1000,3,682
1000,3,606
1000,3,631
1000,3,649
1000,3,795
1000,3,580
1000,3,738
1000,3,847
1000,3,650
1000,3,710
1000,3,690
1000,3,731
1000,3,642
1000,3,599
1000,3,641
1000,3,688
1000,3,780
1000,3,692
1000,3,809
1000,3,923
1000,4,808
1000,4,768
1000,4,1347
1000,4,809
1000,4,762
1000,4,699
1000,4,830
1000,4,832
1000,4,949
1000,4,813
1000,4,836
1000,4,815
1000,4,880
1000,4,965
1000,4,727
1000,4,732
1000,4,829
1000,4,1849
1000,4,918
1000,4,898
1000,5,905
1000,5,639
1000,5,900
1000,5,960
1000,5,753
1000,5,849
1000,5,665
1000,5,812
1000,5,909
1000,5,947
1000,5,950
1000,5,1155
1000,5,1211
1000,5,837
1000,5,930
1000,5,863
1000,5,721
1000,5,1032
1000,5,649
1000,5,970
1000,6,820
1000,6,694
1000,6,716
1000,6,740
1000,6,852
1000,6,1090
1000,6,962
1000,6,686
1000,6,891
1000,6,1010
1000,6,1202
1000,6,2430
1000,6,988
1000,6,1084
1000,6,1150
1000,6,1178
1000,6,842
1000,6,958
1000,6,1088
1000,6,1127
1000,7,1393
1000,7,767
1000,7,868
1000,7,739
1000,7,839
1000,7,1076
1000,7,753
1000,7,726
1000,7,860
1000,7,1062
1000,7,1050
1000,7,1025
1000,7,928
1000,7,793
1000,7,1047
1000,7,3183
1000,7,941
1000,7,1029
1000,7,979
1000,7,1118
1000,8,1351
1000,8,896
1000,8,1419
1000,8,1380
1000,8,898
1000,8,1224
1000,8,760
1000,8,946
1000,8,1009
1000,8,766
1000,8,741
1000,8,1263
1000,8,810
1000,8,936
1000,8,746
1000,8,774
1000,8,782
1000,8,1175
1000,8,926
1000,8,1137
1000,9,1281
1000,9,1422
1000,9,966
1000,9,1201
1000,9,1350
1000,9,1457
1000,9,920
1000,9,848
1000,9,955
1000,9,810
1000,9,972
1000,9,786
1000,9,1395
1000,9,1102
1000,9,1168
1000,9,1164
1000,9,1092
1000,9,849
1000,9,814
1000,9,815
1000,10,1092
1000,10,1039
1000,10,1196
1000,10,971
1000,10,1729
1000,10,1511
1000,10,841
1000,10,1073
1000,10,1652
1000,10,1337
1000,10,1415
1000,10,1337
1000,10,980
1000,10,1057
1000,10,1423
1000,10,1460
1000,10,981
1000,10,879
