wordAmount,threadAmount,milliSeconds
10000000,5,328
10000000,5,325
10000000,5,325
10000000,5,326
10000000,5,326
10000000,5,329
10000000,5,324
10000000,5,323
10000000,5,332
10000000,5,329
10000000,5,324
10000000,5,336
10000000,5,356
10000000,5,324
10000000,5,329
10000000,5,330
10000000,5,331
10000000,5,331
10000000,5,323
10000000,5,341
10000000,5,332
10000000,5,328
